trial,condition,rt,accuracy,stim_path,stim_target
1,\incong-cong-ha,824,1,stimuli-ha-sa\\incong-cong-HA\\cong-ha-14.png,cong-ha-14
2,\incong-cong-sa,1787,1,stimuli-ha-sa\\incong-cong-SA\\cong-sa-31.png,cong-sa-31
3,\incong-cong-sa,1172,1,stimuli-ha-sa\\incong-cong-SA\\incong-sa-5.png,incong-sa-5
4,\incong-cong-sa,1099,1,stimuli-ha-sa\\incong-cong-SA\\cong-sa-25.png,cong-sa-25
5,\incong-cong-sa,1430,1,stimuli-ha-sa\\incong-cong-SA\\cong-sa-5.png,cong-sa-5
6,\incong-cong-ha,1175,1,stimuli-ha-sa\\incong-cong-HA\\cong-ha-31.png,cong-ha-31
7,\incong-cong-ha,986,1,stimuli-ha-sa\\incong-cong-HA\\cong-ha-36.png,cong-ha-36
8,\incong-cong-ha,859,1,stimuli-ha-sa\\incong-cong-HA\\cong-ha-41.png,cong-ha-41
9,\incong-cong-sa,936,1,stimuli-ha-sa\\incong-cong-SA\\cong-sa-1.png,cong-sa-1
10,\incong-cong-sa,2755,1,stimuli-ha-sa\\incong-cong-SA\\incong-sa-26.png,incong-sa-26
11,\incong-cong-ha,1128,1,stimuli-ha-sa\\incong-cong-HA\\incong-ha-39.png,incong-ha-39
12,\incong-cong-ha,1091,1,stimuli-ha-sa\\incong-cong-HA\\incong-ha-18.png,incong-ha-18
13,\incong-cong-ha,1486,1,stimuli-ha-sa\\incong-cong-HA\\incong-ha-3.png,incong-ha-3
14,\incong-cong-ha,893,1,stimuli-ha-sa\\incong-cong-HA\\cong-ha-6.png,cong-ha-6
15,\incong-cong-ha,1338,1,stimuli-ha-sa\\incong-cong-HA\\cong-ha-22.png,cong-ha-22
16,\incong-cong-ha,1489,1,stimuli-ha-sa\\incong-cong-HA\\incong-ha-21.png,incong-ha-21
17,\incong-cong-ha,1767,1,stimuli-ha-sa\\incong-cong-HA\\cong-ha-35.png,cong-ha-35
18,\incong-cong-sa,1926,1,stimuli-ha-sa\\incong-cong-SA\\incong-sa-22.png,incong-sa-22
19,\incong-cong-ha,1881,1,stimuli-ha-sa\\incong-cong-HA\\cong-ha-4.png,cong-ha-4
20,\incong-cong-sa,5276,1,stimuli-ha-sa\\incong-cong-SA\\cong-sa-30.png,cong-sa-30
21,\incong-cong-ha,3653,1,stimuli-ha-sa\\incong-cong-HA\\incong-ha-9.png,incong-ha-9
22,\incong-cong-sa,1262,1,stimuli-ha-sa\\incong-cong-SA\\incong-sa-46.png,incong-sa-46
23,\incong-cong-sa,885,1,stimuli-ha-sa\\incong-cong-SA\\incong-sa-14.png,incong-sa-14
24,\incong-cong-ha,1115,1,stimuli-ha-sa\\incong-cong-HA\\incong-ha-16.png,incong-ha-16
25,\incong-cong-ha,1227,1,stimuli-ha-sa\\incong-cong-HA\\cong-ha-30.png,cong-ha-30
26,\incong-cong-sa,998,1,stimuli-ha-sa\\incong-cong-SA\\incong-sa-32.png,incong-sa-32
27,\incong-cong-ha,817,1,stimuli-ha-sa\\incong-cong-HA\\cong-ha-9.png,cong-ha-9
28,\incong-cong-ha,2596,1,stimuli-ha-sa\\incong-cong-HA\\incong-ha-41.png,incong-ha-41
29,\incong-cong-ha,3033,1,stimuli-ha-sa\\incong-cong-HA\\incong-ha-19.png,incong-ha-19
30,\incong-cong-sa,2133,1,stimuli-ha-sa\\incong-cong-SA\\cong-sa-24.png,cong-sa-24
31,\incong-cong-ha,2184,1,stimuli-ha-sa\\incong-cong-HA\\cong-ha-11.png,cong-ha-11
32,\incong-cong-ha,5248,1,stimuli-ha-sa\\incong-cong-HA\\incong-ha-15.png,incong-ha-15
33,\incong-cong-sa,1006,1,stimuli-ha-sa\\incong-cong-SA\\cong-sa-39.png,cong-sa-39
34,\incong-cong-sa,1168,1,stimuli-ha-sa\\incong-cong-SA\\cong-sa-7.png,cong-sa-7
35,\incong-cong-sa,1459,1,stimuli-ha-sa\\incong-cong-SA\\cong-sa-13.png,cong-sa-13
36,\incong-cong-sa,918,1,stimuli-ha-sa\\incong-cong-SA\\incong-sa-38.png,incong-sa-38
37,\incong-cong-ha,2568,1,stimuli-ha-sa\\incong-cong-HA\\cong-ha-43.png,cong-ha-43
38,\incong-cong-sa,932,1,stimuli-ha-sa\\incong-cong-SA\\incong-sa-13.png,incong-sa-13
39,\incong-cong-sa,923,1,stimuli-ha-sa\\incong-cong-SA\\incong-sa-29.png,incong-sa-29
40,\incong-cong-sa,903,1,stimuli-ha-sa\\incong-cong-SA\\incong-sa-25.png,incong-sa-25
41,\incong-cong-sa,937,1,stimuli-ha-sa\\incong-cong-SA\\incong-sa-2.png,incong-sa-2
42,\incong-cong-ha,1665,1,stimuli-ha-sa\\incong-cong-HA\\incong-ha-14.png,incong-ha-14
43,\incong-cong-ha,1185,1,stimuli-ha-sa\\incong-cong-HA\\cong-ha-33.png,cong-ha-33
44,\incong-cong-sa,1102,1,stimuli-ha-sa\\incong-cong-SA\\cong-sa-2.png,cong-sa-2
45,\incong-cong-sa,875,1,stimuli-ha-sa\\incong-cong-SA\\incong-sa-10.png,incong-sa-10
46,\incong-cong-sa,1035,1,stimuli-ha-sa\\incong-cong-SA\\incong-sa-4.png,incong-sa-4
47,\incong-cong-sa,1067,1,stimuli-ha-sa\\incong-cong-SA\\cong-sa-34.png,cong-sa-34
48,\incong-cong-ha,1192,1,stimuli-ha-sa\\incong-cong-HA\\incong-ha-20.png,incong-ha-20
49,\incong-cong-sa,1034,1,stimuli-ha-sa\\incong-cong-SA\\incong-sa-20.png,incong-sa-20
50,\incong-cong-ha,1900,1,stimuli-ha-sa\\incong-cong-HA\\incong-ha-45.png,incong-ha-45
51,\incong-cong-ha,834,1,stimuli-ha-sa\\incong-cong-HA\\cong-ha-12.png,cong-ha-12
52,\incong-cong-ha,1367,1,stimuli-ha-sa\\incong-cong-HA\\incong-ha-33.png,incong-ha-33
53,\incong-cong-sa,931,1,stimuli-ha-sa\\incong-cong-SA\\incong-sa-30.png,incong-sa-30
54,\incong-cong-ha,1564,1,stimuli-ha-sa\\incong-cong-HA\\cong-ha-34.png,cong-ha-34
