subject,condition_clean,face_emotion,rt
kjy,cong,ha,824.0
kjy,cong,sa,1787.0
kjy,incong,sa,1172.0
kjy,cong,sa,1099.0
kjy,cong,sa,1430.0
kjy,cong,ha,1175.0
kjy,cong,ha,986.0
kjy,cong,ha,859.0
kjy,cong,sa,936.0
kjy,incong,sa,2755.0
kjy,incong,ha,1128.0
kjy,incong,ha,1091.0
kjy,incong,ha,1486.0
kjy,cong,ha,893.0
kjy,cong,ha,1338.0
kjy,incong,ha,1489.0
kjy,cong,ha,1767.0
kjy,incong,sa,1926.0
kjy,cong,ha,1881.0
kjy,cong,sa,5276.0
kjy,incong,ha,3653.0
kjy,incong,sa,1262.0
kjy,incong,sa,885.0
kjy,incong,ha,1115.0
kjy,cong,ha,1227.0
kjy,incong,sa,998.0
kjy,cong,ha,817.0
kjy,incong,ha,2596.0
kjy,incong,ha,3033.0
kjy,cong,sa,2133.0
kjy,cong,ha,2184.0
kjy,incong,ha,5248.0
kjy,cong,sa,1006.0
kjy,cong,sa,1168.0
kjy,cong,sa,1459.0
kjy,incong,sa,918.0
kjy,cong,ha,2568.0
kjy,incong,sa,932.0
kjy,incong,sa,923.0
kjy,incong,sa,903.0
kjy,incong,sa,937.0
kjy,incong,ha,1665.0
kjy,cong,ha,1185.0
kjy,cong,sa,1102.0
kjy,incong,sa,875.0
kjy,incong,sa,1035.0
kjy,cong,sa,1067.0
kjy,incong,ha,1192.0
kjy,incong,sa,1034.0
kjy,incong,ha,1900.0
kjy,cong,ha,834.0
kjy,incong,ha,1367.0
kjy,incong,sa,931.0
kjy,cong,ha,1564.0
kjy,cong,sa,2025.0
kjy,cong,sa,1580.0
kjy,cong,sa,921.0
kjy,incong,sa,2299.0
kjy,cong,sa,2150.0
kjy,cong,sa,2279.0
kjy,cong,ha,958.0
kjy,cong,ha,922.0
kjy,cong,sa,817.0
kjy,incong,sa,1553.0
kjy,cong,sa,1217.0
kjy,incong,ha,941.0
kjy,cong,ha,952.0
kjy,incong,sa,2215.0
kjy,incong,sa,1063.0
kjy,incong,ha,907.0
kjy,cong,ha,1062.0
kjy,incong,ha,983.0
kjy,cong,sa,1224.0
kjy,incong,ha,1366.0
kjy,incong,ha,2559.0
kjy,incong,sa,1343.0
kjy,cong,ha,1376.0
kjy,incong,ha,1359.0
kjy,incong,ha,1392.0
kjy,incong,sa,1436.0
kjy,incong,ha,1389.0
kjy,cong,ha,1655.0
kjy,incong,ha,1352.0
kjy,cong,sa,1499.0
kjy,incong,ha,2708.0
kjy,cong,ha,2092.0
kjy,cong,ha,1388.0
kjy,incong,sa,1353.0
kjy,cong,sa,3046.0
kjy,incong,ha,1543.0
kjy,incong,sa,1350.0
kjy,cong,ha,1289.0
kjy,incong,sa,2010.0
kjy,cong,sa,2264.0
kjy,cong,sa,1665.0
kjy,incong,ha,2680.0
kjy,cong,sa,1484.0
kjy,cong,ha,1572.0
kjy,cong,ha,1663.0
kjy,incong,sa,1366.0
kjy,cong,sa,1343.0
kjy,incong,ha,1720.0
kjy,cong,ha,1446.0
kjy,incong,ha,1400.0
kjy,incong,sa,1272.0
kjy,incong,ha,1370.0
kjy,cong,ha,1735.0
lyj,cong,sa,4402.0
lyj,cong,sa,2240.0
lyj,incong,ha,1435.0
lyj,incong,sa,2063.0
lyj,incong,sa,1631.0
lyj,incong,sa,1385.0
lyj,cong,ha,1490.0
lyj,incong,sa,1392.0
lyj,cong,sa,1524.0
lyj,cong,sa,2267.0
lyj,incong,ha,1754.0
lyj,cong,sa,1418.0
lyj,cong,sa,1438.0
lyj,incong,ha,1345.0
lyj,cong,ha,1849.0
lyj,incong,sa,1367.0
lyj,cong,sa,1584.0
lyj,cong,ha,1744.0
lyj,incong,sa,1346.0
lyj,incong,ha,1416.0
lyj,incong,sa,1404.0
lyj,incong,ha,2277.0
lyj,cong,ha,1225.0
lyj,incong,sa,966.0
lyj,incong,sa,2094.0
lyj,cong,ha,1401.0
lyj,incong,sa,1378.0
lyj,incong,ha,1376.0
lyj,incong,ha,1306.0
lyj,incong,sa,1346.0
lyj,incong,sa,1316.0
lyj,incong,ha,1349.0
lyj,cong,sa,1498.0
lyj,incong,sa,1765.0
lyj,incong,ha,1435.0
lyj,incong,ha,1430.0
lyj,cong,ha,1355.0
lyj,cong,ha,1343.0
lyj,incong,sa,1398.0
lyj,incong,sa,1244.0
lyj,incong,ha,1278.0
lyj,cong,ha,1547.0
lyj,cong,ha,1574.0
lyj,cong,ha,1060.0
lyj,incong,ha,1368.0
lyj,cong,sa,1552.0
lyj,cong,sa,1394.0
lyj,cong,ha,1635.0
lyj,incong,sa,1524.0
lyj,cong,sa,1329.0
lyj,cong,ha,1279.0
lyj,cong,sa,1309.0
lyj,incong,sa,1522.0
lyj,cong,sa,1588.0
lyj,cong,ha,1322.0
lyj,cong,sa,1936.0
lyj,cong,sa,1248.0
lyj,cong,sa,1245.0
lyj,cong,sa,1336.0
lyj,cong,sa,1499.0
lyj,cong,sa,1960.0
lyj,incong,sa,1302.0
