,time,type,component,response,type_stim,scroll,stimuli,filename,congruency,emotion,response_time,correct,subject
0,63.5401,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-39.png',cong-ha-39.png,cong,happy,3.5812999999999917,True,cey
1,70.4303,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-19.png',incong-ha-19.png,incong,happy,1.4268,True,cey
2,76.1352,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-23.png',incong-ha-23.png,incong,happy,0.9624000000000024,True,cey
3,81.1578,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-19.png',incong-sa-19.png,incong,sad,1.2513000000000005,True,cey
4,85.9116,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-46.png',cong-sa-46.png,cong,sad,1.033399999999986,True,cey
5,91.418,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-39.png',incong-sa-39.png,incong,sad,1.007099999999994,True,cey
6,95.9217,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-49.png',cong-ha-49.png,cong,happy,1.3275000000000006,True,cey
7,100.4095,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-37.png',cong-ha-37.png,cong,happy,1.3355999999999995,True,cey
8,106.5164,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-23.png',incong-sa-23.png,incong,sad,1.3726999999999947,True,cey
9,112.4059,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-24.png',incong-sa-24.png,incong,sad,1.4110999999999905,True,cey
10,117.5442,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-51.png',incong-sa-51.png,incong,sad,1.2888999999999982,True,cey
11,123.1665,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-43.png',cong-sa-43.png,cong,sad,1.354699999999994,True,cey
12,128.9055,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-47.png',cong-ha-47.png,cong,happy,1.519500000000022,True,cey
